StartRange,EndRange,ISOCode,SrcGrpID
33996344,33996351,GB,6
50331648,69956103,US,7
69956104,69956111,BM,1
69956112,83886079,US,7
94585424,94585439,SE,1
100663296,121195295,US,7
121195296,121195327,IT,11
121195328,152305663,US,7
152305664,152338431,GB,6
152338432,167772159,US,7
184549376,201674095,US,7
201674096,201674111,CA,5
201674112,202035199,US,7
202035200,202035711,IN,3
202035712,205500987,US,7
205500988,205500991,CA,5
205500992,208605279,US,7
208605280,208605311,CA,5
208605312,210784255,US,7
210784256,210784383,BO,1
210784384,210784767,US,7
210784768,210786303,BO,1
210786304,214858655,US,7
214858656,214858671,NL,1
214858672,260227071,US,7
260227072,260231167,GB,6
260231168,260976639,US,7
260976640,260980735,GB,6
260980736,264482815,US,7
264482816,264486911,DE,9
264486912,264495103,US,7
264495104,264503295,CH,1
264503296,264617983,US,7
264617984,264667135,DE,9
264667136,264699903,US,7
264699904,264716287,CH,1
264716288,264798207,US,7
264798208,264802303,GB,6
264802304,265023487,US,7
265023488,265027583,GB,6
265027584,265277439,US,7
265277440,265289727,GB,6
265289728,289011535,US,7
289011536,289011543,IT,11
289011544,323243895,US,7
323243896,323243903,FR,8
323243904,332132119,US,7
332132120,332132127,IL,1
332132128,355993887,US,7
355993888,355993895,IT,11
355993896,368674047,US,7
368674048,368674303,ES,10
368674304,385875967,US,7
386665696,386665727,GB,6
386666240,386666367,GB,6
393849728,393849735,GB,6
402653184,404979711,US,7
405012480,405143551,CA,5
405143552,405180415,US,7
405209088,405295103,US,7
405299200,405319679,US,7
405340160,405364735,US,7
405405696,405536767,CA,5
405536768,406351871,US,7
406355968,406388735,US,7
406388736,406454271,CA,5
406454272,406847487,US,7
406847488,407408639,CA,5
407408640,407416831,US,7
407420928,407433215,US,7
407437312,407633919,US,7
407633920,408420351,CA,5
408420352,408494079,US,7
408502272,408510463,CA,5
408535040,408551423,CA,5
408551424,409206783,US,7
409206784,409468927,CA,5
409468928,409509887,US,7
409534464,409550847,US,7
409567232,409591807,US,7
409600000,409731071,US,7
409731072,409862143,CA,5
409862144,409993215,US,7
409993216,410058751,CA,5
410058752,410107903,US,7
410124288,410189823,CA,5
410189824,410632191,US,7
410648576,410710015,CA,5
410714112,411164671,US,7
411172864,411303935,US,7
411303936,411369471,NL,1
411566080,411639807,US,7
411648000,411664383,CA,5
411664384,411680767,US,7
411680768,411688959,CA,5
411697152,411717631,CA,5
411729920,411738111,CA,5
411746304,411762687,PR,1
411762688,411770879,CA,5
411795456,411803647,PR,1
411828224,411885567,US,7
411893760,411959295,CA,5
411959296,412033023,US,7
412041216,412049407,US,7
412057600,412069887,US,7
412090368,412155903,US,7
412188672,412221439,US,7
412221440,412229631,CA,5
412286976,412381183,US,7
412385280,412434431,US,7
412450816,412483583,US,7
412483584,412549119,CA,5
412549120,412614655,US,7
412614656,412647423,CL,1
412647424,412680191,US,7
412680192,412696575,CA,5
412696576,412876799,US,7
412876800,413007871,CA,5
413007872,413847551,US,7
413851648,413900799,US,7
413925376,415285247,US,7
415301632,415760383,US,7
415760384,416022527,CA,5
416022528,416059391,US,7
416088064,416161791,US,7
416169984,416219135,US,7
416219136,416251903,CA,5
416251904,416546815,US,7
416546816,416563199,CA,5
416612352,416628735,US,7
416628736,416636927,CA,5
416645120,416743423,US,7
416743424,416776191,CA,5
416776192,417202175,US,7
417202176,417267711,CA,5
417267712,417288191,US,7
417300480,417341439,US,7
417366016,417398783,CA,5
417398784,417423359,US,7
417431552,417464319,US,7
417464320,417529855,CA,5
417529856,417619967,US,7
417660928,417775615,US,7
417792000,417800191,CA,5
417800192,417808383,BS,1
417808384,417816575,CA,5
417824768,417857535,US,7
417857536,417923071,AR,1
417923072,417947647,US,7
417955840,417972223,US,7
417988608,418062335,US,7
418062336,418066431,CA,5
418070528,418074623,US,7
418078720,418119679,CA,5
418119680,418127871,US,7
418136064,418250751,US,7
418258944,418275327,US,7
418283520,418316287,US,7
418324480,418643967,US,7
418643968,418668543,CA,5
418676736,418687743,BS,1
418687744,418687998,DM,1
418687999,418693119,BS,1
418693120,418709503,CA,5
418709504,418729983,US,7
418824192,418832383,US,7
418840576,419430399,US,7
419430400,436207615,GB,6
436207616,452984831,US,7
469762048,520093695,US,7
536870912,540737535,US,7
540737536,540737791,BZ,1
540737792,540737919,BR,12
540737920,540750175,BZ,1
540750176,540750191,MX,1
540750192,540803071,BZ,1
540803072,540819455,US,7
540819456,540823551,CA,5
540823552,544301567,US,7
544301568,544302079,IL,1
544302080,603979775,US,7
637534208,654311423,US,7
671088640,687865855,US,7
721420288,738197503,JP,2
738197504,771751935,US,7
788529152,805306367,CA,5
805306368,822083583,US,7
855638016,872415231,GB,6
872415232,889192447,US,7
889192448,905969663,DE,9
905969664,956301311,US,7
956301312,973078527,FR,8
973078528,973209599,JP,2
973209600,973275135,IN,3
973275136,973307903,JP,2
973307904,973340671,AU,4
973340672,973471743,JP,2
973471744,973602815,AU,4
973602816,973864959,TH,3
973864960,973996031,JP,2
973996032,974782463,CN,2
974782464,974880767,MY,3
974880768,974913535,AU,4
974913536,974979071,NZ,4
974979072,975044607,AU,4
975044608,977272831,CN,2
977272832,977305599,TH,3
977305600,977338367,AU,4
977338368,977346559,SG,3
977346560,977354751,AU,4
977354752,977371135,KR,2
977371136,977395711,PK,1
977395712,977403903,AU,4
977403904,977534975,CN,2
977534976,977567743,IN,3
977567744,977600511,AU,4
977600512,977666047,PH,1
977666048,977731583,JP,2
977731584,977764351,PH,1
977764352,977797119,MY,3
977797120,978321407,KR,2
978321408,978452479,JP,2
978452480,978583551,CN,2
978583552,978599935,JP,2
978599936,978649087,AU,4
978649088,978714623,JP,2
978714624,978780159,TW,2
978780160,978796543,AU,4
978796544,978812927,CN,2
978812928,979369983,JP,2
979369984,979501055,AU,4
979501056,979566591,JP,2
979566592,979582975,TW,2
979582976,979632127,AU,4
979632128,979763199,CN,2
979763200,979894271,KR,2
979894272,980418559,AU,4
980418560,980549631,JP,2
980549632,980680703,AU,4
980680704,980942847,CN,2
980942848,981467135,KR,2
981467136,981991423,CN,2
981991424,982056959,TH,3
982056960,982122495,AU,4
982122496,982171647,JP,2
982171648,982188031,AU,4
982188032,982253567,MY,3
982253568,982515711,KR,2
982515712,982581247,CN,2
982581248,982614015,KR,2
982614016,982630399,AU,4
982630400,982646783,SG,3
982646784,982671359,JP,2
982671360,982679551,AU,4
982679552,982695935,SG,3
982695936,982712319,AU,4
982712320,982745087,TH,3
982745088,982753279,AF,1
982753280,982761471,AU,4
982761472,982777855,JP,2
982777856,983039999,KR,2
983040000,983171071,HK,3
983171072,983302143,AU,4
983302144,983564287,JP,2
983564288,984612863,AU,4
984612864,984743935,HK,3
984743936,984875007,AU,4
984875008,984956927,KR,2
984956928,984973311,AU,4
984973312,985006079,TH,3
985006080,985071615,SG,3
985071616,985137151,AU,4
985137152,985202687,KR,2
985202688,985268223,SG,3
985268224,985399295,VN,3
985399296,985661439,JP,2
985661440,986054655,CN,2
986054656,986185727,AU,4
986185728,987758591,CN,2
987758592,988807167,KR,2
988807168,989855743,CN,2
989855744,991952895,KR,2
991952896,995360767,CN,2
995360768,995532799,JP,2
995532800,995557375,AU,4
995557376,995622911,JP,2
995622912,996409343,IN,3
996409344,996671487,AU,4
996671488,996802559,TW,2
996802560,996868095,JP,2
996868096,996900863,CN,2
996900864,996933631,AU,4
996933632,997064703,CN,2
997064704,997195775,AU,4
997195776,998244351,TW,2
998244352,999292927,JP,2
999292928,999423999,IN,3
999424000,999555071,JP,2
999555072,999686143,HK,3
999686144,999751679,KR,2
999751680,999784447,CN,2
999784448,999817215,AU,4
999817216,999849983,BD,3
999849984,999882751,AU,4
999882752,999948287,JP,2
999948288,1000079359,AU,4
1000079360,1000341503,JP,2
1000341504,1000734719,IN,3
1000734720,1000800255,JP,2
1000800256,1000865791,AU,4
1000865792,1001127935,JP,2
1001127936,1001390079,AU,4
1001390080,1002045439,IN,3
1002045440,1002176511,KR,2
1002176512,1002242047,HK,3
1002242048,1002307583,SG,3
1002307584,1002373119,JP,2
1002373120,1002405887,CN,2
1002405888,1002438655,AU,4
1002438656,1007501311,CN,2
1007501312,1007517695,AU,4
1007517696,1008730111,CN,2
1008730112,1009778687,JP,2
1009778688,1010237439,MY,3
1010237440,1010302975,CN,2
1010302976,1010761727,JP,2
1010761728,1010827263,CN,2
1010827264,1017118719,JP,2
1017118720,1019215871,CN,2
1019215872,1019346943,JP,2
1019346944,1019478015,CN,2
1019478016,1019609087,KR,2
1019609088,1019740159,TW,2
1019740160,1020067839,CN,2
1020067840,1020264447,AU,4
1020264448,1021313023,CN,2
1021313024,1021837311,AU,4
1021837312,1021968383,CN,2
1021968384,1021986495,NZ,4
1021986496,1021986559,PA,1
